================== p:0.01 ==================
(873,364,3)
(940,851,2)
(283,735,3)
(334,831,2)
(80,878,3)
(135,497,3)
(682,931,4)
(522,805,4)
(498,532,4)
(802,824,3)
(999,528,4)
(442,592,3)
(727,656,4)
(461,522,4)
(516,51,4)
(537,161,3)
(689,122,4)
(62,929,3)
(664,428,3)
(483,261,3)
(584,298,3)
(153,973,4)
(501,108,3)
(214,946,3)
(766,91,4)
(133,204,3)
(798,384,3)
(735,879,3)
(865,662,4)
(691,150,4)
(304,501,3)
(867,587,4)
(242,908,3)
(880,594,4)
(427,18,3)
(568,541,3)
(430,791,3)
(336,319,3)
(797,882,3)
(820,305,3)
(356,11,3)
(994,577,4)
(549,357,3)
(905,991,4)
(612,40,3)
(49,892,3)
(308,19,3)
(101,586,3)
(910,921,3)
(517,522,3)
(515,937,2)
(633,404,3)
(140,147,4)
(272,794,4)
(415,697,3)
(937,217,3)
(243,751,3)
(820,823,3)
(815,448,2)
(890,331,4)
(226,880,4)
(186,780,3)
(27,336,3)
(830,744,2)
(486,487,3)
(470,779,3)
(195,526,4)
(362,117,3)
(158,758,3)
(405,801,4)
(563,961,4)
(319,579,3)
(558,224,2)
(206,239,3)
(651,118,4)
(886,990,4)
(628,285,4)
(692,869,3)
(915,348,3)
(147,175,4)
(621,944,4)
(554,366,4)
(923,944,4)
(929,508,3)
(842,489,3)
(297,616,4)
(612,145,3)
(903,537,4)
(372,953,3)
(607,305,3)
(650,876,3)
(923,276,4)
(138,795,4)
(527,66,3)
(525,51,2)
(644,330,3)
(727,564,1)
(980,663,3)
(484,752,3)
(571,232,3)
(327,822,4)
(164,883,3)
(50,260,4)
(579,482,2)
(592,495,3)
(999,371,4)
(492,159,4)
(218,709,3)
(97,434,4)
(828,625,3)
(992,638,2)
(154,121,3)
(852,454,3)
(641,4,4)
(468,599,2)
(551,834,3)
(658,46,3)
(680,444,3)
(355,920,3)
(440,870,3)
(205,392,2)
(266,936,3)
(74,959,3)
(533,683,5)
(19,477,4)
(156,11,4)
(464,962,4)
(959,640,3)
(629,828,4)
(139,182,3)
(934,230,3)
(332,942,2)
(204,291,2)
(650,922,4)
(608,410,3)
(492,337,3)
(892,109,3)
(281,705,3)
(304,73,3)
(457,386,2)
(806,616,4)
(723,511,4)
(613,223,3)
(225,782,2)
(431,90,3)
(455,931,4)
(473,582,4)
(370,165,3)
(622,172,3)
(995,607,4)
(541,802,3)
(72,16,3)
(665,921,4)
(29,646,3)
(588,88,4)
(112,130,3)
(996,966,3)
(751,24,3)
(374,483,3)
(606,467,3)
(560,519,3)
(864,442,3)
(94,462,4)
(361,200,3)
(523,433,4)
(314,823,4)
(775,645,4)
(259,890,3)
(617,772,3)
(614,247,3)
(88,820,2)
(454,610,3)
(524,198,3)
(105,491,3)
(292,465,3)
(563,171,3)
(641,538,4)
(58,551,3)
(696,103,4)
(257,449,4)
(926,487,3)
(531,723,4)
(394,229,3)
(152,707,3)
(858,215,3)
(817,335,2)
(388,544,3)
(560,739,3)
(888,117,3)
(604,962,4)
(425,621,4)
(840,534,2)
(220,709,2)
(1,643,3)
(244,294,2)
(152,504,2)
(522,611,4)
(118,697,3)
(684,346,4)
(691,787,2)
(150,668,3)
(798,718,3)
(280,995,3)
(386,744,2)
(788,294,3)
(498,38,3)
(744,431,3)
(447,248,3)
(519,334,4)
(219,467,4)
(715,831,3)
(504,744,3)
(912,267,3)
(769,978,3)
(68,754,4)
(565,491,3)
(467,815,3)
(467,972,2)
(528,559,4)
(287,516,3)
(42,450,3)
(831,945,4)
(961,585,3)
(934,473,3)
(856,409,3)
(485,827,3)
(923,389,3)
(433,263,2)
(399,254,3)
(832,602,3)
(416,198,3)
(845,65,2)
(316,483,4)
(800,324,2)
(943,444,3)
(95,783,4)
(119,200,4)
(667,982,3)
(374,42,4)
(193,950,4)
(343,609,4)
(379,865,2)
(822,738,4)
(424,973,3)
(75,965,4)
(952,38,3)
(619,74,3)
(792,37,4)
(189,356,3)
(237,742,3)
(134,659,4)
(294,955,3)
(834,934,4)
(82,117,4)
(939,292,3)
(76,137,3)
(454,412,3)
(218,521,3)
(380,933,4)
(117,937,3)
(582,181,4)
(919,829,4)
(886,781,3)
(937,990,3)
(569,481,4)
(990,382,2)
(328,469,3)
(319,406,3)
(381,90,3)
(635,61,4)
(834,185,4)
(461,669,4)
(299,714,3)
(440,709,4)
(42,467,4)
(742,200,3)
(944,17,4)
(389,282,3)
(594,910,4)
(321,591,3)
(254,7,3)
(936,673,4)
(615,526,3)
